sku,name,price,description,is_in_stock,ADVERTISER CATEGORY
RJPCRP.IBLU.IBLU.IBLU-6,Run Jump &rsquo;n Play Crop-India Blue-6,88,"RJP Crop in India Blue.
",0,yoga apparel
RJPCRP.IBLU.IBLU.IBLU-8,Run Jump &rsquo;n Play Crop-India Blue-8,88,RJP Crop in India Blue.,0,yoga apparel
RJPCRP.IBLU.IBLU.IBLU-10,Run Jump &rsquo;n Play Crop-India Blue-10,88,RJP Crop in India Blue.,0,yoga apparel
RJPCRP.IBLU.IBLU.IBLU-12,Run Jump &rsquo;n Play Crop-India Blue-12,88,RJP Crop in India Blue.,0,yoga apparel
RJPCRP.C6.IBLU.BBLU-2,Run Jump &rsquo;n Play Crop-Carbon 6 / India Blue-2,88,RJP Crop in Carbon 6/ India Blue.,0,yoga apparel
RJPCRP.C6.IBLU.BBLU-4,Run Jump &rsquo;n Play Crop-Carbon 6 / India Blue-4,88,RJP Crop in Carbon 6/ India Blue.,0,yoga apparel
RJPCRP.C6.IBLU.BBLU-6,Run Jump &rsquo;n Play Crop-Carbon 6 / India Blue-6,88,RJP Crop in Carbon 6/ India Blue.,0,yoga apparel
RJPCRP.C6.IBLU.BBLU-8,Run Jump &rsquo;n Play Crop-Carbon 6 / India Blue-8,88,RJP Crop in Carbon 6/ India Blue.,0,yoga apparel
RJPCRP.C6.IBLU.BBLU-10,Run Jump &rsquo;n Play Crop-Carbon 6 / India Blue-10,88,RJP Crop in Carbon 6/ India Blue.,1,yoga apparel
RJPCRP.C6.IBLU.BBLU-12,Run Jump &rsquo;n Play Crop-Carbon 6 / India Blue-12,88,RJP Crop in Carbon 6/ India Blue.,0,yoga apparel
RJPCRP,Run Jump &rsquo;n Play Crop,88,"Run Faster. Jump Higher. Play harder. Whatever your game is, this cropped pant instantly transforms you into a stunning vision of curves and strength. So no matter what you’re getting into you’ll look good getting there.",1,yoga apparel
YOGAFLOP,YOGAFLOPS  (By Rider),22,"To-and-from Yoga class. Get there in style with your YOGAFLOPS™. <br/><br/>

YOGAFLOPS™ by YOGASMOGA offer attention grabbing, two-toned, flexible foot-beds that are topped off with innovative dual hinged upper straps that adjust allowing the sandal to move with you while you are in motion.<br/><br/>

These are both stylish and offer amazing comfort for your beautiful tippy-toes.
",1,yoga apparel
YTNK,Yantra Tank,55,"Ladies, finally, a tank that stays in check — paying attention to your hips instead of flirting with your navel. That’s right, a top that does what it’s told and stays put at your hips, even when you’re striking your finest headstand.  You would think there’s a magnetic force controlling it – but, really, its just great design. <br/><br/>

Made from YOGASMOGAs exclusive Aurum high performance technical fabric. The Yantra Tank is a classic tank with no built-in bra. <br/><br/>",1,yoga apparel
YTNK.C6.C6.C6-2,Yantra Tank-Carbon 6-2,55,Yantra Tank in Carbon 6.,1,yoga apparel
YTNK.C6.C6.C6-4,Yantra Tank-Carbon 6-4,55,Yantra Tank in Carbon 6.,1,yoga apparel
YTNK.C6.C6.C6-6,Yantra Tank-Carbon 6-6,55,Yantra Tank in Carbon 6.,1,yoga apparel
YTNK.C6.C6.C6-8,Yantra Tank-Carbon 6-8,55,Yantra Tank in Carbon 6.,1,yoga apparel
YTNK.C6.C6.C6-10,Yantra Tank-Carbon 6-10,55,Yantra Tank in Carbon 6.,1,yoga apparel
YTNK.C6.C6.C6-12,Yantra Tank-Carbon 6-12,55,Yantra Tank in Carbon 6.,1,yoga apparel
YTNK.TPNK.TPNK.TPNK-2,Yantra Tank-Tickled Pink-2,26,Yantra Tank in Tickled Pink.,0,yoga apparel
YTNK.TPNK.TPNK.TPNK-4,Yantra Tank-Tickled Pink-4,26,Yantra Tank in Tickled Pink.,0,yoga apparel
YTNK.TPNK.TPNK.TPNK-6,Yantra Tank-Tickled Pink-6,26,Yantra Tank in Tickled Pink.,1,yoga apparel
YTNK.TPNK.TPNK.TPNK-8,Yantra Tank-Tickled Pink-8,26,Yantra Tank in Tickled Pink.,1,yoga apparel
YTNK.TPNK.TPNK.TPNK-10,Yantra Tank-Tickled Pink-10,26,Yantra Tank in Tickled Pink.,1,yoga apparel
YTNK.TPNK.TPNK.TPNK-12,Yantra Tank-Tickled Pink-12,26,Yantra Tank in Tickled Pink.,1,yoga apparel
YTNK.IBLU.IBLU.BBLU-2,Yantra Tank-India Blue-2,26,Yantra Tank in India Blue.,0,yoga apparel
YTNK.IBLU.IBLU.BBLU-4,Yantra Tank-India Blue-4,26,Yantra Tank in India Blue.,0,yoga apparel
YTNK.IBLU.IBLU.BBLU-6,Yantra Tank-India Blue-6,26,Yantra Tank in India Blue.,0,yoga apparel
YTNK.IBLU.IBLU.BBLU-8,Yantra Tank-India Blue-8,26,Yantra Tank in India Blue.,1,yoga apparel
YTNK.IBLU.IBLU.BBLU-10,Yantra Tank-India Blue-10,26,Yantra Tank in India Blue.,1,yoga apparel
YTNK.IBLU.IBLU.BBLU-12,Yantra Tank-India Blue-12,26,Yantra Tank in India Blue.,0,yoga apparel
YTNK.BBLU.BBLU.IBLU-2,Yantra Tank-Boy Blue-2,26,Yantra Tank in Boy Blue.,0,yoga apparel
YTNK.BBLU.BBLU.IBLU-4,Yantra Tank-Boy Blue-4,26,Yantra Tank in Boy Blue.,0,yoga apparel
YTNK.BBLU.BBLU.IBLU-6,Yantra Tank-Boy Blue-6,26,Yantra Tank in Boy Blue.,1,yoga apparel
