old_sku,new_sku
SLMSH.BBLU.BBLU.BBLU-12,SWSH.BBLU.BBLU.BBLU-12
SLMSH.BBLU.BBLU.BBLU-2,SWSH.BBLU.BBLU.BBLU-2
SLMSH.BBLU.BBLU.BBLU-4,SWSH.BBLU.BBLU.BBLU-4
SLMSH.BBLU.BBLU.BBLU-6,SWSH.BBLU.BBLU.BBLU-6
SLMSH.BBLU.BBLU.BBLU-8,SWSH.BBLU.BBLU.BBLU-8
SWSH.C6.JBLU.BBLU-10,SWSH.C6.JDBL.BBLU-10
SWSH.C6.JBLU.BBLU-12,SWSH.C6.JDBL.BBLU-12
SWSH.C6.JBLU.BBLU-2,SWSH.C6.JDBL.BBLU-2
SWSH.C6.JBLU.BBLU-4,SWSH.C6.JDBL.BBLU-4
SWSH.C6.JBLU.BBLU-6,SWSH.C6.JDBL.BBLU-6
SWSH.C6.JBLU.BBLU-8,SWSH.C6.JDBL.BBLU-8
SLMSH.C6.C6.C6-10,SWSH.C6.C6.C6-10
SLMSH.C6.C6.C6-12,SWSH.C6.C6.C6-12
SLMSH.C6.C6.C6-2,SWSH.C6.C6.C6-2
SLMSH.C6.C6.C6-4,SWSH.C6.C6.C6-4
SLMSH.C6.C6.C6-6,SWSH.C6.C6.C6-6
SLMSH.C6.C6.C6-8,SWSH.C6.C6.C6-8
SLMSH.C6.MGRY.VTW-10,SWSH.C6.MGRY.VTW-10
SLMSH.C6.MGRY.VTW-12,SWSH.C6.MGRY.VTW-12
SLMSH.C6.MGRY.VTW-2,SWSH.C6.MGRY.VTW-2
SLMSH.C6.MGRY.VTW-4,SWSH.C6.MGRY.VTW-4
SLMSH.C6.MGRY.VTW-6,SWSH.C6.MGRY.VTW-6
SLMSH.C6.MGRY.VTW-8,SWSH.C6.MGRY.VTW-8
SLMSH.CRS.CRS.CRS-10,SWSH.CRS.CRS.CRS-10
SLMSH.CRS.CRS.CRS-12,SWSH.CRS.CRS.CRS-12
SLMSH.CRS.CRS.CRS-2,SWSH.CRS.CRS.CRS-2
SLMSH.CRS.CRS.CRS-4,SWSH.CRS.CRS.CRS-4
SLMSH.CRS.CRS.CRS-6,SWSH.CRS.CRS.CRS-6
SLMSH.CRS.CRS.CRS-8,SWSH.CRS.CRS.CRS-8
SLMSH.IBLU.IBLU.IBLU-10,SWSH.IBLU.IBLU.IBLU-10
SLMSH.IBLU.IBLU.IBLU-12,SWSH.IBLU.IBLU.IBLU-12
SLMSH.IBLU.IBLU.IBLU-2,SWSH.IBLU.IBLU.IBLU-2
SLMSH.IBLU.IBLU.IBLU-4,SWSH.IBLU.IBLU.IBLU-4
SLMSH.IBLU.IBLU.IBLU-6,SWSH.IBLU.IBLU.IBLU-6
SLMSH.IBLU.IBLU.IBLU-8,SWSH.IBLU.IBLU.IBLU-8
SLMSH.VTW.MGRY.VTW-10,SWSH.VTW.MGRY.VTW-10
SLMSH.VTW.MGRY.VTW-12,SWSH.VTW.MGRY.VTW-12
SLMSH.VTW.MGRY.VTW-2,SWSH.VTW.MGRY.VTW-2
SLMSH.VTW.MGRY.VTW-4,SWSH.VTW.MGRY.VTW-4
SLMSH.VTW.MGRY.VTW-6,SWSH.VTW.MGRY.VTW-6
SLMSH.VTW.MGRY.VTW-8,SWSH.VTW.MGRY.VTW-8
TTTL.HGR.HGR.HGR-10,TTTL.HGRY.HGRY.HGRY-10
TTTL.HGR.HGR.HGR-12,TTTL.HGRY.HGRY.HGRY-12
TTTL.HGR.HGR.HGR-2,TTTL.HGRY.HGRY.HGRY-2
TTTL.HGR.HGR.HGR-4,TTTL.HGRY.HGRY.HGRY-4
TTTL.HGR.HGR.HGR-6,TTTL.HGRY.HGRY.HGRY-6
TTTL.HGR.HGR.HGR-8,TTTL.HGRY.HGRY.HGRY-8
TTLEG.C6T.C6T.C6T-10,TTTL.C6.C6.C6-10
TTLEG.C6T.C6T.C6T-12,TTTL.C6.C6.C6-12
TTLEG.C6T.C6T.C6T-2,TTTL.C6.C6.C6-2
TTLEG.C6T.C6T.C6T-4,TTTL.C6.C6.C6-4
TTLEG.C6T.C6T.C6T-6,TTTL.C6.C6.C6-6
TTLEG.C6T.C6T.C6T-8,TTTL.C6.C6.C6-8
TTLEG.SGR.SMST.SGRY-10,TTLEG.SGRY.SMST.SGRY-10
TTLEG.SGR.SMST.SGRY-12,TTLEG.SGRY.SMST.SGRY-12
TTLEG.SGR.SMST.SGRY-2,TTLEG.SGRY.SMST.SGRY-2
TTLEG.SGR.SMST.SGRY-4,TTLEG.SGRY.SMST.SGRY-4
TTLEG.SGR.SMST.SGRY-6,TTLEG.SGRY.SMST.SGRY-6
TTLEG.SGR.SMST.SGRY-8,TTLEG.SGRY.SMST.SGRY-8
TULCAP.C6.C6.C6-10,TLPC.C6.C6.C6-10
TULCAP.C6.C6.C6-12,TLPC.C6.C6.C6-12
TULCAP.C6.C6.C6-2,TLPC.C6.C6.C6-2
TULCAP.C6.C6.C6-4,TLPC.C6.C6.C6-4
TULCAP.C6.C6.C6-6,TLPC.C6.C6.C6-6
TULCAP.C6.C6.C6-8,TLPC.C6.C6.C6-8
TULCAP.GCV.GCV.GCV-10,TLPC.GCV.GCV.GCV-10
TULCAP.GCV.GCV.GCV-12,TLPC.GCV.GCV.GCV-12
TULCAP.GCV.GCV.GCV-2,TLPC.GCV.GCV.GCV-2
TULCAP.GCV.GCV.GCV-4,TLPC.GCV.GCV.GCV-4
TULCAP.GCV.GCV.GCV-6,TLPC.GCV.GCV.GCV-6
TULCAP.GCV.GCV.GCV-8,TLPC.GCV.GCV.GCV-8
TWNK.MGRY.MGRY.MGRY-10,TWTNK.MGRY.MGRY.MGRY-10
TWNK.MGRY.MGRY.MGRY-12,TWTNK.MGRY.MGRY.MGRY-12
TWNK.MGRY.MGRY.MGRY-2,TWTNK.MGRY.MGRY.MGRY-2
TWNK.MGRY.MGRY.MGRY-4,TWTNK.MGRY.MGRY.MGRY-4
TWNK.MGRY.MGRY.MGRY-6,TWTNK.MGRY.MGRY.MGRY-6
TWNK.MGRY.MGRY.MGRY-8,TWTNK.MGRY.MGRY.MGRY-8
UMBRA.BBLU.BBLU.BLLU-10,UMBRA.BBLU.BBLU.BBLU-10
UMBRA.BBLU.BBLU.BLLU-12,UMBRA.BBLU.BBLU.BBLU-12
UMBRA.BBLU.BBLU.BLLU-2,UMBRA.BBLU.BBLU.BBLU-2
UMBRA.BBLU.BBLU.BLLU-4,UMBRA.BBLU.BBLU.BBLU-4
UMBRA.BBLU.BBLU.BLLU-6,UMBRA.BBLU.BBLU.BBLU-6
UMBRA.BBLU.BBLU.BLLU-8,UMBRA.BBLU.BBLU.BBLU-8
UMBRA.CRL.CRS.CRL-10,UMBRA.CRLP.CRS.CRLP-10
UMBRA.CRL.CRS.CRL-12,UMBRA.CRLP.CRS.CRLP-12
UMBRA.CRL.CRS.CRL-2,UMBRA.CRLP.CRS.CRLP-2
UMBRA.CRL.CRS.CRL-4,UMBRA.CRLP.CRS.CRLP-4
UMBRA.CRL.CRS.CRL-6,UMBRA.CRLP.CRS.CRLP-6
UMBRA.CRL.CRS.CRL-8,UMBRA.CRLP.CRS.CRLP-8
UMBRA.OLVN.MOLVN.OLVN-10,UMBRA.OLVN.C6.OLVN-10
UMBRA.OLVN.MOLVN.OLVN-12,UMBRA.OLVN.C6.OLVN-12
UMBRA.OLVN.MOLVN.OLVN-2,UMBRA.OLVN.C6.OLVN-2
UMBRA.OLVN.MOLVN.OLVN-4,UMBRA.OLVN.C6.OLVN-4
UMBRA.OLVN.MOLVN.OLVN-6,UMBRA.OLVN.C6.OLVN-6
UMBRA.OLVN.MOLVN.OLVN-8,UMBRA.OLVN.C6.OLVN-8
